,quantity,unit
Barbecued Chicken,5401.456838279036,grams
Red Peppers,11339.70034886149,grams
Green Peppers,8028.5787230876795,grams
Tomatoes,34970.2594300373,grams
Red Onions,54801.31540596438,grams
Barbecue Sauce,1800.4856127596786,grams
Bacon,19992.00476447773,grams
Pepperoni,24186.495331007565,grams
Italian Sausage,343.9546218990462,grams
Chorizo Sausage,1719.773109495231,grams
Brie Carre Cheese,260.2724035125131,grams
Prosciutto,260.2724035125131,grams
Caramelized Onions,,grams
Pears,86.75746783750438,grams
Thyme,43.37873391875219,grams
Garlic,17931.797061826474,grams
?duja Salami,1586.8982709669156,grams
Pancetta,2380.3474064503735,grams
Friggitello Peppers,396.7245677417289,grams
Chicken,44723.0378310713,grams
Artichokes,8187.7901375585325,grams
Spinach,21042.62138941387,grams
Jalapeno Peppers,3769.653095510457,grams
Fontina Cheese,3919.995936380924,grams
Gouda Cheese,2940.0,grams
Mushrooms,26136.369236842504,grams
Asiago Cheese,4170.125500463285,grams
Alfredo Sauce,934.3929415791158,grams
Pesto Sauce,3897.137731475999,grams
Mozzarella Cheese,10227.704748202921,grams
Provolone Cheese,760.0348353254358,grams
Smoked Gouda Cheese,760.0348353254358,grams
Romano Cheese,760.0348353254358,grams
Blue Cheese,760.0348353254358,grams
Ricotta Cheese,3982.6984755407047,grams
Gorgonzola Piccante Cheese,3186.1587804325636,grams
Parmigiano Reggiano Cheese,7965.3969510814095,grams
Kalamata Olives,2242.598080339304,grams
Feta Cheese,7529.546473860229,grams
Beef Chuck Roast,7980.0,grams
Green Olives,3265.186268564424,grams
Sliced Ham,,grams
Pineapple,4642.296604086483,grams
Capocollo,50240.62526037854,grams
Goat Cheese,11480.59169401025,grams
Oregano,1461.5706829957278,grams
Calabrese Salami,11117.8048002306,grams
Eggplant,2214.157933680756,grams
Zucchini,4631.537484219523,grams
Sun-dried Tomatoes,1606.410034445332,grams
Plum Tomatoes,3090.392321357216,grams
Cilantro,2299.653095510457,grams
Corn,15331.020636736377,grams
Chipotle Sauce,4599.306191020914,grams
Anchovies,2950.923921969945,grams
Genoa Salami,6252.804735073392,grams
Prosciutto di San Daniele,1959.7776451525338,grams
Arugula,839.9047050653714,grams
Coarse Sicilian Salami,5535.225822768711,grams
Luganega Sausage,2767.6129113843554,grams
Onions,1383.8064556921777,grams
Soppressata Salami,4899.97968190462,grams
Peperoncini verdi,1408.5772405068349,grams
Thai Sweet Chilli Sauce,1260.0,grams
